SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
29 19 f 1 1 3 4 1 1.154169e-002 72 1.200000e-001
29 19 f 1 2 2 3 2 1.667803e-002 159 2.650000e-001
29 19 f 1 3 1 3 1 1.655035e-002 95 1.583333e-001
29 19 f 1 4 1 3 2 1.652288e-002 126 2.100000e-001
29 19 f 1 5 3 4 1 1.652107e-002 96 1.600000e-001
29 19 f 1 6 2 4 1 1.661615e-002 38 6.333333e-002
29 19 f 1 7 1 4 1 1.656695e-002 22 3.666667e-002
29 19 f 1 8 1 4 1 1.657600e-002 22 3.666667e-002
29 19 f 1 9 1 4 1 1.660528e-002 40 6.666667e-002
29 19 f 1 10 2 3 1 1.654763e-002 183 3.050000e-001
29 19 f 1 11 1 3 2 1.657661e-002 79 1.316667e-001
29 19 f 1 12 1 2 2 1.651684e-002 45 7.500000e-002
29 19 f 1 13 1 4 2 1.654008e-002 21 3.500000e-002
29 19 f 1 14 2 3 1 1.656121e-002 3 5.000000e-003
29 19 f 1 15 2 3 2 1.652952e-002 -204 -3.400000e-001
29 19 f 1 16 1 3 2 1.646764e-002 69 1.150000e-001
29 19 f 1 17 1 3 1 1.649420e-002 73 1.216667e-001
29 19 f 1 18 2 4 2 1.649118e-002 68 1.133333e-001
29 19 f 1 19 3 4 2 1.651865e-002 72 1.200000e-001
29 19 f 1 20 2 4 1 1.657993e-002 60 1.000000e-001
29 19 f 1 21 1 4 2 1.656212e-002 89 1.483333e-001
29 19 f 1 22 3 4 1 1.654673e-002 102 1.700000e-001
29 19 f 1 23 2 4 1 1.649028e-002 109 1.816667e-001
29 19 f 1 24 2 3 1 1.648756e-002 226 3.766667e-001
29 19 f 1 25 3 4 2 1.655246e-002 79 1.316667e-001
29 19 f 1 26 1 2 2 1.646704e-002 58 9.666667e-002
29 19 f 1 27 1 2 2 1.644228e-002 50 8.333333e-002
29 19 f 1 28 2 4 2 1.650658e-002 130 2.166667e-001
29 19 f 1 29 1 2 1 1.667290e-002 37 6.166667e-002
29 19 f 1 30 1 2 1 1.660528e-002 41 6.833333e-002
29 19 f 1 31 2 4 2 1.654642e-002 86 1.433333e-001
29 19 f 1 32 1 3 1 1.646764e-002 87 1.450000e-001
29 19 f 1 33 1 2 1 1.657057e-002 39 6.500000e-002
29 19 f 1 34 2 3 2 1.660438e-002 159 2.650000e-001
29 19 f 1 35 3 4 2 1.655005e-002 74 1.233333e-001
29 19 f 1 36 1 4 2 1.661917e-002 30 5.000000e-002
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
29 19 f 1 39 85 28 1.373333e+002 69 90 51 9.133333e+001 4.666667e+001 38 9.466667e+001 75
