SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
35 21 male 1 1 1 4 2 1.573427e-002 66 1.100000e-001
35 21 male 1 2 2 4 2 1.655955e-002 221 3.683333e-001
35 21 male 1 3 2 4 2 1.644454e-002 284 4.733333e-001
35 21 male 1 4 3 4 2 1.652272e-002 434 7.233333e-001
35 21 male 1 5 1 2 2 1.655743e-002 130 2.166667e-001
35 21 male 1 6 2 3 1 1.653238e-002 589 9.816667e-001
35 21 male 1 7 2 4 1 1.654476e-002 205 3.416667e-001
35 21 male 1 8 3 4 2 1.649525e-002 368 6.133333e-001
35 21 male 1 9 1 2 2 1.655834e-002 90 1.500000e-001
35 21 male 1 10 2 3 2 1.656860e-002 584 9.733333e-001
35 21 male 1 11 1 3 2 1.654023e-002 -423 -7.050000e-001
35 21 male 1 12 2 4 1 1.652182e-002 159 2.650000e-001
35 21 male 1 13 3 4 1 1.647382e-002 419 6.983333e-001
35 21 male 1 14 1 4 1 1.652876e-002 56 9.333333e-002
35 21 male 1 15 1 4 2 1.654113e-002 57 9.500000e-002
35 21 male 1 16 3 4 1 1.647110e-002 407 6.783333e-001
35 21 male 1 17 3 4 1 1.645420e-002 -412 -6.866667e-001
35 21 male 1 18 2 3 2 1.651035e-002 584 9.733333e-001
35 21 male 1 19 1 3 1 1.654778e-002 452 7.533333e-001
35 21 male 1 20 1 3 2 1.676692e-002 -480 -8.000000e-001
35 21 male 1 21 2 3 1 1.653781e-002 592 9.866667e-001
35 21 male 1 22 1 4 1 1.655321e-002 54 9.000000e-002
35 21 male 1 23 1 3 2 1.658490e-002 492 8.200000e-001
35 21 male 1 24 2 3 1 1.652634e-002 -587 -9.783333e-001
35 21 male 1 25 1 3 1 1.653480e-002 460 7.666667e-001
35 21 male 1 26 1 2 1 1.654596e-002 -90 -1.500000e-001
35 21 male 1 27 3 4 2 1.647292e-002 413 6.883333e-001
35 21 male 1 28 1 4 1 1.654868e-002 48 8.000000e-002
35 21 male 1 29 2 4 1 1.657524e-002 154 2.566667e-001
35 21 male 1 30 1 2 2 1.655079e-002 81 1.350000e-001
35 21 male 1 31 1 2 1 1.651185e-002 -84 -1.400000e-001
35 21 male 1 32 1 3 1 1.656830e-002 420 7.000000e-001
35 21 male 1 33 2 3 2 1.657343e-002 -583 -9.716667e-001
35 21 male 1 34 1 4 2 1.656347e-002 49 8.166667e-002
35 21 male 1 35 2 4 2 1.651940e-002 -155 -2.583333e-001
35 21 male 1 36 1 2 1 1.655593e-002 83 1.383333e-001
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
35 21 male 1 -3.033333e+001 444 5.266667e+001 198 1.726667e+002 138 1.003333e+002 -137 5.733333e+001 195 1.166667e+002 405
