SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
28 19 female 1 1 2 4 1 1.071672e-002 74 1.233333e-001
28 19 female 1 2 1 3 1 1.657600e-002 103 1.716667e-001
28 19 female 1 3 1 2 1 1.656967e-002 71 1.183333e-001
28 19 female 1 4 1 4 2 1.674323e-002 22 3.666667e-002
28 19 female 1 5 1 4 1 1.658748e-002 19 3.166667e-002
28 19 female 1 6 1 4 2 1.657721e-002 25 4.166667e-002
28 19 female 1 7 1 3 2 1.656846e-002 80 1.333333e-001
28 19 female 1 8 1 3 1 1.641783e-002 88 1.466667e-001
28 19 female 1 9 2 3 1 1.656393e-002 169 2.816667e-001
28 19 female 1 10 2 3 2 1.654340e-002 131 2.183333e-001
28 19 female 1 11 1 3 1 1.663215e-002 91 1.516667e-001
28 19 female 1 12 2 4 1 1.653797e-002 49 8.166667e-002
28 19 female 1 13 1 4 1 1.657631e-002 21 3.500000e-002
28 19 female 1 14 2 3 2 1.644772e-002 133 2.216667e-001
28 19 female 1 15 3 4 1 1.649964e-002 99 1.650000e-001
28 19 female 1 16 2 4 2 1.655005e-002 49 8.166667e-002
28 19 female 1 17 1 4 1 1.650386e-002 18 3.000000e-002
28 19 female 1 18 3 4 2 1.656423e-002 102 1.700000e-001
28 19 female 1 19 1 3 2 1.646673e-002 64 1.066667e-001
28 19 female 1 20 2 4 1 1.658506e-002 50 8.333333e-002
28 19 female 1 21 3 4 2 1.659895e-002 100 1.666667e-001
28 19 female 1 22 2 4 2 1.655035e-002 38 6.333333e-002
28 19 female 1 23 1 3 2 1.654884e-002 89 1.483333e-001
28 19 female 1 24 1 2 1 1.650205e-002 59 9.833333e-002
28 19 female 1 25 1 2 1 1.654310e-002 67 1.116667e-001
28 19 female 1 26 1 4 2 1.646190e-002 21 3.500000e-002
28 19 female 1 27 2 3 1 1.658687e-002 90 1.500000e-001
28 19 female 1 28 3 4 1 1.642296e-002 83 1.383333e-001
28 19 female 1 29 1 2 2 1.663215e-002 41 6.833333e-002
28 19 female 1 30 1 2 2 1.654280e-002 46 7.666667e-002
28 19 female 1 31 2 3 1 1.649300e-002 127 2.116667e-001
28 19 female 1 32 2 3 2 1.653344e-002 113 1.883333e-001
28 19 female 1 33 1 2 2 1.653978e-002 60 1.000000e-001
28 19 female 1 34 3 4 1 1.662521e-002 99 1.650000e-001
28 19 female 1 35 3 4 2 1.656725e-002 94 1.566667e-001
28 19 female 1 36 2 4 2 1.651111e-002 53 8.833333e-002
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
28 19 female 1 6.566667e+001 94 1.933333e+001 1.286667e+002 5.766667e+001 9.366667e+001 49 7.766667e+001 2.266667e+001 1.256667e+002 4.666667e+001 9.866667e+001
