SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
19 24 male 1 1 1 4 2 1.099340e-002 113 1.883333e-001
19 24 male 1 2 2 4 2 4.740391e-002 25 4.166667e-002
19 24 male 1 3 2 4 2 1.653546e-002 17 2.833333e-002
19 24 male 1 4 3 4 2 1.655352e-002 209 3.483333e-001
19 24 male 1 5 1 2 2 1.673497e-002 20 3.333333e-002
19 24 male 1 6 2 3 1 1.664342e-002 279 4.650000e-001
19 24 male 1 7 2 4 1 1.664712e-002 15 2.500000e-002
19 24 male 1 8 3 4 2 1.673456e-002 199 3.316667e-001
19 24 male 1 9 1 2 2 1.662741e-002 13 2.166667e-002
19 24 male 1 10 2 3 2 1.656707e-002 251 4.183333e-001
19 24 male 1 11 1 3 2 1.657240e-002 219 3.650000e-001
19 24 male 1 12 2 4 1 1.717875e-002 14 2.333333e-002
19 24 male 1 13 3 4 1 1.644350e-002 233 3.883333e-001
19 24 male 1 14 1 4 1 1.671280e-002 90 1.500000e-001
19 24 male 1 15 1 4 2 1.648578e-002 77 1.283333e-001
19 24 male 1 16 3 4 1 1.729123e-002 217 3.616667e-001
19 24 male 1 17 3 4 1 1.644555e-002 209 3.483333e-001
19 24 male 1 18 2 3 2 1.673990e-002 237 3.950000e-001
19 24 male 1 19 1 3 1 1.649153e-002 249 4.150000e-001
19 24 male 1 20 1 3 2 1.664794e-002 230 3.833333e-001
19 24 male 1 21 2 3 1 1.652971e-002 244 4.066667e-001
19 24 male 1 22 1 4 1 1.675016e-002 11 1.833333e-002
19 24 male 1 23 1 3 2 1.662085e-002 244 4.066667e-001
19 24 male 1 24 2 3 1 1.667134e-002 215 3.583333e-001
19 24 male 1 25 1 3 1 1.649646e-002 233 3.883333e-001
19 24 male 1 26 1 2 1 1.647018e-002 10 1.666667e-002
19 24 male 1 27 3 4 2 1.673456e-002 266 4.433333e-001
19 24 male 1 28 1 4 1 1.657774e-002 9 1.500000e-002
19 24 male 1 29 2 4 1 1.648414e-002 5 8.333333e-003
19 24 male 1 30 1 2 2 1.652355e-002 21 3.500000e-002
19 24 male 1 31 1 2 1 1.644637e-002 18 3.000000e-002
19 24 male 1 32 1 3 1 1.741439e-002 286 4.766667e-001
19 24 male 1 33 2 3 2 1.665081e-002 279 4.650000e-001
19 24 male 1 34 1 4 2 1.681174e-002 56 9.333333e-002
19 24 male 1 35 2 4 2 1.668201e-002 18 3.000000e-002
19 24 male 1 36 1 2 1 1.692053e-002 14 2.333333e-002
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
19 24 male 1 14 256 3.666667e+001 246 1.133333e+001 2.196667e+002 18 231 82 2.556667e+002 20 2.246667e+002
