SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
30 20 f 1 1 1 2 2 2.606659e-002 156 2.600000e-001
30 20 f 1 2 2 3 1 1.657782e-002 523 8.716667e-001
30 20 f 1 3 1 3 1 1.656182e-002 422 7.033333e-001
30 20 f 1 4 2 4 1 1.649964e-002 76 1.266667e-001
30 20 f 1 5 1 3 2 1.655095e-002 473 7.883333e-001
30 20 f 1 6 1 2 2 1.659080e-002 143 2.383333e-001
30 20 f 1 7 1 4 2 1.653495e-002 199 3.316667e-001
30 20 f 1 8 2 4 2 1.658234e-002 135 2.250000e-001
30 20 f 1 9 1 4 2 1.648937e-002 207 3.450000e-001
30 20 f 1 10 2 3 2 1.648635e-002 590 9.833333e-001
30 20 f 1 11 2 3 1 1.655699e-002 586 9.766667e-001
30 20 f 1 12 2 4 1 1.655608e-002 115 1.916667e-001
30 20 f 1 13 2 4 2 1.646281e-002 125 2.083333e-001
30 20 f 1 14 3 4 1 1.650839e-002 244 4.066667e-001
30 20 f 1 15 2 4 1 1.652922e-002 182 3.033333e-001
30 20 f 1 16 1 2 1 1.659140e-002 118 1.966667e-001
30 20 f 1 17 1 3 2 1.659925e-002 284 4.733333e-001
30 20 f 1 18 3 4 2 1.657419e-002 193 3.216667e-001
30 20 f 1 19 1 2 1 1.657268e-002 96 1.600000e-001
30 20 f 1 20 3 4 1 1.650628e-002 172 2.866667e-001
30 20 f 1 21 1 4 1 1.649994e-002 227 3.783333e-001
30 20 f 1 22 1 4 1 1.646915e-002 227 3.783333e-001
30 20 f 1 23 3 4 2 1.652710e-002 217 3.616667e-001
30 20 f 1 24 1 4 1 1.650899e-002 164 2.733333e-001
30 20 f 1 25 2 4 2 1.655125e-002 100 1.666667e-001
30 20 f 1 26 2 3 2 1.658566e-002 399 6.650000e-001
30 20 f 1 27 2 3 1 1.655940e-002 561 9.350000e-001
30 20 f 1 28 1 2 1 1.655729e-002 128 2.133333e-001
30 20 f 1 29 1 3 1 1.649390e-002 361 6.016667e-001
30 20 f 1 30 1 4 2 1.655970e-002 223 3.716667e-001
30 20 f 1 31 1 3 2 1.655789e-002 399 6.650000e-001
30 20 f 1 32 1 2 2 1.658898e-002 226 3.766667e-001
30 20 f 1 33 3 4 2 1.652077e-002 261 4.350000e-001
30 20 f 1 34 3 4 1 1.649209e-002 239 3.983333e-001
30 20 f 1 35 1 3 1 1.658687e-002 376 6.266667e-001
30 20 f 1 36 2 3 2 1.657691e-002 415 6.916667e-001
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
30 20 f 1 114 3.863333e+002 206 5.566667e+002 1.243333e+002 2.183333e+002 175 3.853333e+002 2.096667e+002 468 120 2.236667e+002
