SubjectID	Age	Gender	ExpGroup	Trial	firstTarget	secondTarget	Position	RT	lengthDraw	lengthPercentage					
22	18	Female	0	1	1	4	2	2.31E-02	28	4.67E-02					
22	18	Female	0	2	2	4	2	1.65E-02	66	1.10E-01					
22	18	Female	0	3	2	4	2	1.64E-02	103	1.72E-01					
22	18	Female	0	4	3	4	2	1.65E-02	46	7.67E-02					
22	18	Female	0	5	1	2	2	1.66E-02	9	1.50E-02					
22	18	Female	0	6	2	3	1	1.65E-02	313	5.22E-01					
22	18	Female	0	7	2	4	1	1.65E-02	25	4.17E-02					
22	18	Female	0	8	3	4	2	1.64E-02	54	9.00E-02					
22	18	Female	0	9	1	2	2	1.65E-02	42	7.00E-02					
22	18	Female	0	10	2	3	2	1.65E-02	256	4.27E-01					
22	18	Female	0	11	1	3	2	1.65E-02	-167	-2.78E-01					
22	18	Female	0	12	2	4	1	1.65E-02	-25	-4.17E-02					
22	18	Female	0	13	3	4	1	1.66E-02	40	6.67E-02					
22	18	Female	0	14	1	4	1	1.65E-02	19	3.17E-02					
22	18	Female	0	15	1	4	2	1.64E-02	31	5.17E-02					
22	18	Female	0	16	3	4	1	1.65E-02	-30	-5.00E-02					
22	18	Female	0	17	3	4	1	1.66E-02	-27	-4.50E-02					
22	18	Female	0	18	2	3	2	1.65E-02	-221	-3.68E-01					
22	18	Female	0	19	1	3	1	1.65E-02	-31	-5.17E-02					
22	18	Female	0	20	1	3	2	1.66E-02	-221	-3.68E-01					
22	18	Female	0	21	2	3	1	1.65E-02	300	5.00E-01					
22	18	Female	0	22	1	4	1	1.65E-02	29	4.83E-02					
22	18	Female	0	23	1	3	2	1.65E-02	-281	-4.68E-01					
22	18	Female	0	24	2	3	1	1.65E-02	383	6.38E-01					
22	18	Female	0	25	1	3	1	1.66E-02	337	5.62E-01					
22	18	Female	0	26	1	2	1	1.65E-02	31	5.17E-02					
22	18	Female	0	27	3	4	2	1.65E-02	85	1.42E-01					
22	18	Female	0	28	1	4	1	1.66E-02	25	4.17E-02					
22	18	Female	0	29	2	4	1	1.65E-02	35	5.83E-02					
22	18	Female	0	30	1	2	2	1.65E-02	8	1.33E-02					
22	18	Female	0	31	1	2	1	1.66E-02	15	2.50E-02					
22	18	Female	0	32	1	3	1	1.65E-02	258	4.30E-01					
22	18	Female	0	33	2	3	2	1.65E-02	394	6.57E-01					
22	18	Female	0	34	1	4	2	1.65E-02	31	5.17E-02					
22	18	Female	0	35	2	4	2	1.65E-02	48	8.00E-02					
22	18	Female	0	36	1	2	1	1.65E-02	35	5.83E-02					
subjectID	age	gender	expGroup	selfTogood	selfTobad	selfTonormal	goodTobad	goodTonormal	badTonormal	goodToSelf	badToSelf	normalToSelf	badTogood	normalTogood	normalTobad
22	18	Female	0	27	188	24.33333	332	11.66667	-5.666667	19.66667	-223	30	143	72.33333	61.66667
