SubjectID Age Gender ExpGroup Trial firstTarget secondTarget Position RT lengthDraw lengthPercentage
25 18 f 1 1 2 3 1 1.043207e-002 490 8.166667e-001
25 18 f 1 2 3 4 2 1.668165e-002 142 2.366667e-001
25 18 f 1 3 2 4 1 1.663245e-002 351 5.850000e-001
25 18 f 1 4 1 3 2 1.658778e-002 87 1.450000e-001
25 18 f 1 5 1 3 1 1.650628e-002 -57 -9.500000e-002
25 18 f 1 6 2 4 1 1.659925e-002 240 4.000000e-001
25 18 f 1 7 1 4 2 1.651684e-002 7 1.166667e-002
25 18 f 1 8 2 3 1 1.657842e-002 309 5.150000e-001
25 18 f 1 9 1 3 2 1.649964e-002 44 7.333333e-002
25 18 f 1 10 1 3 1 1.653405e-002 75 1.250000e-001
25 18 f 1 11 3 4 1 1.646643e-002 -63 -1.050000e-001
25 18 f 1 12 2 3 2 1.642176e-002 -337 -5.616667e-001
25 18 f 1 13 1 4 1 1.655638e-002 10 1.666667e-002
25 18 f 1 14 3 4 2 1.655488e-002 58 9.666667e-002
25 18 f 1 15 1 4 2 1.650507e-002 7 1.166667e-002
25 18 f 1 16 3 4 2 1.655970e-002 53 8.833333e-002
25 18 f 1 17 1 2 1 1.666264e-002 -170 -2.833333e-001
25 18 f 1 18 2 3 1 1.655548e-002 255 4.250000e-001
25 18 f 1 19 1 2 1 1.645315e-002 -157 -2.616667e-001
25 18 f 1 20 2 3 2 1.659804e-002 -366 -6.100000e-001
25 18 f 1 21 1 3 2 1.655125e-002 -92 -1.533333e-001
25 18 f 1 22 1 2 2 1.653827e-002 261 4.350000e-001
25 18 f 1 23 2 4 2 1.652107e-002 -232 -3.866667e-001
25 18 f 1 24 1 3 1 1.651292e-002 82 1.366667e-001
25 18 f 1 25 1 4 1 1.649752e-002 16 2.666667e-002
25 18 f 1 26 2 4 1 1.637346e-002 224 3.733333e-001
25 18 f 1 27 2 4 2 1.656725e-002 -186 -3.100000e-001
25 18 f 1 28 3 4 1 1.656876e-002 -77 -1.283333e-001
25 18 f 1 29 1 4 2 1.649843e-002 -16 -2.666667e-002
25 18 f 1 30 2 3 2 1.646673e-002 -309 -5.150000e-001
25 18 f 1 31 1 2 2 1.637557e-002 291 4.850000e-001
25 18 f 1 32 3 4 1 1.646704e-002 -77 -1.283333e-001
25 18 f 1 33 1 2 1 1.649571e-002 -223 -3.716667e-001
25 18 f 1 34 1 2 2 1.654401e-002 214 3.566667e-001
25 18 f 1 35 1 4 1 1.653616e-002 21 3.500000e-002
25 18 f 1 36 2 4 2 1.647096e-002 -177 -2.950000e-001
subjectID age gender expGroup selfTogood selfTobad selfTonormal goodTobad goodTonormal badTonormal goodToSelf badToSelf normalToSelf badTogood normalTogood normalTobad
25 18 f 1 -1.833333e+002 3.333333e+001 1.566667e+001 3.513333e+002 2.716667e+002 -7.233333e+001 2.553333e+002 13 -6.666667e-001 -3.373333e+002 -1.983333e+002 8.433333e+001
